location,ArrivalDate,DateDec20,DateJun21,DateDec21,DateJul22,DayDec20,DayJun21,DayDec21,DayJul22
Lesotho,5/13/2020,12/31/2020,6/30/2021,12/31/2021,7/15/2022,232,413,597,793
Tajikistan,4/30/2020,12/31/2020,6/30/2021,12/31/2021,7/15/2022,245,426,610,806
Comoros,4/23/2020,12/31/2020,6/30/2021,12/31/2021,7/15/2022,252,433,617,813
Sao Tome and Principe,4/12/2020,12/31/2020,6/30/2021,12/31/2021,7/15/2022,263,444,628,824
Yemen,4/10/2020,12/31/2020,6/30/2021,12/31/2021,7/15/2022,265,446,630,826
South Sudan,4/5/2020,12/31/2020,6/30/2021,12/31/2021,7/15/2022,270,451,635,831
Western Sahara,4/4/2020,12/31/2020,6/30/2021,12/31/2021,7/15/2022,271,452,636,832
Falkland Islands,4/3/2020,12/31/2020,6/30/2021,12/31/2021,7/15/2022,272,453,637,833
Malawi,4/2/2020,12/31/2020,6/30/2021,12/31/2021,7/15/2022,273,454,638,834
Bonaire Sint Eustatius and Saba,3/31/2020,12/31/2020,6/30/2021,12/31/2021,7/15/2022,275,456,640,836
Burundi,3/31/2020,12/31/2020,6/30/2021,12/31/2021,7/15/2022,275,456,640,836
Sierra Leone,3/31/2020,12/31/2020,6/30/2021,12/31/2021,7/15/2022,275,456,640,836
Botswana,3/30/2020,12/31/2020,6/30/2021,12/31/2021,7/15/2022,276,457,641,837
Northern Mariana Islands,3/28/2020,12/31/2020,6/30/2021,12/31/2021,7/15/2022,278,459,643,839
Anguilla,3/26/2020,12/31/2020,6/30/2021,12/31/2021,7/15/2022,280,461,645,841
British Virgin Islands,3/25/2020,12/31/2020,6/30/2021,12/31/2021,7/15/2022,281,462,646,842
Guinea-Bissau,3/25/2020,12/31/2020,6/30/2021,12/31/2021,7/15/2022,281,462,646,842
Mali,3/25/2020,12/31/2020,6/30/2021,12/31/2021,7/15/2022,281,462,646,842
Saint Kitts and Nevis,3/25/2020,12/31/2020,6/30/2021,12/31/2021,7/15/2022,281,462,646,842
Laos,3/24/2020,12/31/2020,6/30/2021,12/31/2021,7/15/2022,282,463,647,843
Libya,3/24/2020,12/31/2020,6/30/2021,12/31/2021,7/15/2022,282,463,647,843
Belize,3/23/2020,12/31/2020,6/30/2021,12/31/2021,7/15/2022,283,464,648,844
Myanmar,3/23/2020,12/31/2020,6/30/2021,12/31/2021,7/15/2022,283,464,648,844
Turks and Caicos Islands,3/23/2020,12/31/2020,6/30/2021,12/31/2021,7/15/2022,283,464,648,844
Dominica,3/22/2020,12/31/2020,6/30/2021,12/31/2021,7/15/2022,284,465,649,845
Mozambique,3/22/2020,12/31/2020,6/30/2021,12/31/2021,7/15/2022,284,465,649,845
