Country,Sl,Rank,GHSI,who_region,status,JEE.Tool.Version,ReadyScore,prevent,detect,respond,other,Code,Date,TotalDeathsPerMillion,DailyDeathsPermillion
Anguilla,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AIA,1-Jul-20,0,0
Aruba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ABW,1-Jul-20,28.099,0
Bermuda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BMU,1-Jul-20,144.525,0
Bonaire Sint Eustatius and Saba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BES,1-Jul-20,0,0
British Virgin Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,VGB,1-Jul-20,33.072,0
Cayman Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CYM,1-Jul-20,15.216,0
Cote d'Ivoire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CIV,1-Jul-20,2.578,0.076
Curacao,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CUW,1-Jul-20,6.094,0
Democratic Republic of Congo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COD,1-Jul-20,1.887,0.022
Faeroe Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FRO,1-Jul-20,0,0
Falkland Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FLK,1-Jul-20,0,0
French Polynesia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PYF,1-Jul-20,0,0
Gibraltar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GIB,1-Jul-20,0,0
Greenland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GRL,1-Jul-20,0,0
Guam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GUM,1-Jul-20,29.624,0
Guernsey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GGY,1-Jul-20,193.879,0
Isle of Man,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IMN,1-Jul-20,282.247,0
Jersey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,JEY,1-Jul-20,306.709,0
Kosovo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OWID_KOS,1-Jul-20,26.387,1.035
Macedonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MKD,1-Jul-20,144.957,1.92
Montserrat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MSR,1-Jul-20,200.04,0
New Caledonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NCL,1-Jul-20,0,0
Northern Mariana Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MNP,1-Jul-20,34.748,0
Palestine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PSE,1-Jul-20,1.764,0.196
Puerto Rico,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PRI,1-Jul-20,53.481,0
Sint Maarten (Dutch part),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SXM,1-Jul-20,349.797,0
Taiwan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TWN,1-Jul-20,0.294,0
Timor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TLS,1-Jul-20,0,0
Turks and Caicos Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TCA,1-Jul-20,51.656,25.828
United States Virgin Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,VIR,1-Jul-20,57.459,0
Vatican,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,VAT,1-Jul-20,0,0
Western Sahara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ESH,1-Jul-20,1.674,0
Vietnam,50,50,49.1,NA,NA,NA,NA,NA,NA,NA,NA,VNM,1-Jul-20,0,0
Liechtenstein,71,71,43.5,NA,NA,NA,NA,NA,NA,NA,NA,LIE,1-Jul-20,26.221,0
Venezuela,176,176,23,NA,NA,NA,NA,NA,NA,NA,NA,VEN,1-Jul-20,1.794,0.106
Syria,188,188,19.9,NA,NA,NA,NA,NA,NA,NA,NA,SYR,1-Jul-20,0.514,0
São Tomé and Príncipe,192,192,17.7,NA,NA,NA,NA,NA,NA,NA,NA,STP,1-Jul-20,59.317,0
North Korea,193,193,17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canada,5,5,75.3,AMR,Completed,v1,93,91,96,94,93,CAN,1-Jul-20,227.623,0.662
Singapore,24,24,58.7,WPR,Completed,v1,93,98,98,89,80,SGP,1-Jul-20,4.444,0
Australia,4,4,75.5,WPR,Completed,v1,92,96,93,85,93,AUS,1-Jul-20,4.078,0
South Korea,9,9,70.2,WPR,Completed,v1,92,95,96,82,97,KOR,1-Jul-20,5.5,0
Japan,21,21,59.8,WPR,Completed,v1,92,95,92,85,97,JPN,1-Jul-20,7.701,0.016
United Arab Emirates,56,56,46.7,EMR,Completed,v1,91,89,86,99,90,ARE,1-Jul-20,31.849,0.101
Armenia,44,44,50.2,EUR,Completed,v1,90,93,80,98,83,ARM,1-Jul-20,149.499,3.375
Switzerland,13,13,67,EUR,Completed,v1,89,87,95,86,90,CHE,1-Jul-20,194.463,0.231
New Zealand,36,35,54,WPR,Completed,v2,89,85,93,88,93,NZL,1-Jul-20,4.562,0
United States,1,1,83.5,AMR,Completed,v1,87,87,91,88,80,USA,1-Jul-20,384.921,3.837
Finland,10,10,68.7,EUR,Completed,v1,86,82,85,93,87,FIN,1-Jul-20,59.198,0
Belgium,19,19,61,EUR,Completed,v1,85,85,83,83,90,BEL,1-Jul-20,841.615,0.173
Oman,76,73,43.1,EMR,Completed,v1,84,86,77,91,80,OMN,1-Jul-20,34.465,1.371
Slovenia,12,12,67.2,EUR,Completed,v1,82,84,79,83,77,SVN,1-Jul-20,53.393,0
Bahrain,88,88,39.4,EMR,Completed,v1,80,77,87,90,60,BHR,1-Jul-20,51.129,1.763
Thailand,6,6,73.2,SEAR,Completed,v1,76,79,74,72,77,THA,1-Jul-20,0.831,0
Saudi Arabia,48,47,49.3,EMR,Completed,v1,76,70,72,84,80,SAU,1-Jul-20,47.366,1.436
Kyrgyzstan,47,47,49.3,EUR,Completed,v1,75,64,73,83,90,KGZ,1-Jul-20,9.503,0.766
Lithuania,33,33,55,EUR,Completed,v2,74,78,72,73,73,LTU,1-Jul-20,28.652,0
Kuwait,59,59,46.1,EMR,Completed,v1,74,70,73,83,70,KWT,1-Jul-20,82.893,0.937
Latvia,17,17,62.9,EUR,Completed,v1,73,81,70,71,63,LVA,1-Jul-20,15.905,0
Morocco,69,68,43.7,EMR,Completed,v1,70,65,71,81,60,MAR,1-Jul-20,6.177,0.081
Qatar,82,82,41.2,EMR,Completed,v1,69,65,73,76,60,QAT,1-Jul-20,39.222,0
